Agent,Allow,Disallow
Applebot,/ajax/bootloader-endpoint/,/ajax/
Applebot,/ajax/pagelet/generic.php/PagePostsSectionPagelet,/album.php
Applebot,/safetycheck/,/checkpoint/
Applebot,NA,/contact_importer/
Applebot,NA,/dialog/
Applebot,NA,/fbml/ajax/dialog/
Applebot,NA,/feeds/
Applebot,NA,/file_download.php
Applebot,NA,/hashtag/
Applebot,NA,/l.php
Applebot,NA,/live/
Applebot,NA,/moments_app/
Applebot,NA,/p.php
Applebot,NA,/photo.php
Applebot,NA,/photos.php
Applebot,NA,/share.php
Applebot,NA,/share/
Applebot,NA,/sharer.php
Applebot,NA,/sharer/
baiduspider,/ajax/bootloader-endpoint/,/ajax/
baiduspider,/ajax/pagelet/generic.php/PagePostsSectionPagelet,/album.php
baiduspider,/safetycheck/,/checkpoint/
baiduspider,NA,/contact_importer/
baiduspider,NA,/dialog/
baiduspider,NA,/fbml/ajax/dialog/
baiduspider,NA,/feeds/
baiduspider,NA,/file_download.php
baiduspider,NA,/hashtag/
baiduspider,NA,/l.php
baiduspider,NA,/live/
baiduspider,NA,/moments_app/
baiduspider,NA,/p.php
baiduspider,NA,/photo.php
baiduspider,NA,/photos.php
baiduspider,NA,/share.php
baiduspider,NA,/share/
baiduspider,NA,/sharer.php
baiduspider,NA,/sharer/
Bingbot,/ajax/bootloader-endpoint/,/ajax/
Bingbot,/ajax/pagelet/generic.php/PagePostsSectionPagelet,/album.php
Bingbot,/safetycheck/,/checkpoint/
Bingbot,NA,/contact_importer/
Bingbot,NA,/dialog/
Bingbot,NA,/fbml/ajax/dialog/
Bingbot,NA,/feeds/
Bingbot,NA,/file_download.php
Bingbot,NA,/hashtag/
Bingbot,NA,/l.php
Bingbot,NA,/live/
Bingbot,NA,/moments_app/
Bingbot,NA,/p.php
Bingbot,NA,/photo.php
Bingbot,NA,/photos.php
Bingbot,NA,/share.php
Bingbot,NA,/share/
Bingbot,NA,/sharer.php
Bingbot,NA,/sharer/
Googlebot,/ajax/bootloader-endpoint/,/ajax/
Googlebot,/ajax/pagelet/generic.php/PagePostsSectionPagelet,/album.php
Googlebot,/safetycheck/,/checkpoint/
Googlebot,NA,/contact_importer/
Googlebot,NA,/dialog/
Googlebot,NA,/fbml/ajax/dialog/
Googlebot,NA,/feeds/
Googlebot,NA,/file_download.php
Googlebot,NA,/hashtag/
Googlebot,NA,/l.php
Googlebot,NA,/live/
Googlebot,NA,/moments_app/
Googlebot,NA,/p.php
Googlebot,NA,/photo.php
Googlebot,NA,/photos.php
Googlebot,NA,/share.php
Googlebot,NA,/share/
Googlebot,NA,/sharer.php
Googlebot,NA,/sharer/
Googlebot-Image,NA,/ajax/
Googlebot-Image,NA,/album.php
Googlebot-Image,NA,/checkpoint/
Googlebot-Image,NA,/contact_importer/
Googlebot-Image,NA,/dialog/
Googlebot-Image,NA,/fbml/ajax/dialog/
Googlebot-Image,NA,/feeds/
Googlebot-Image,NA,/file_download.php
Googlebot-Image,NA,/hashtag/
Googlebot-Image,NA,/l.php
Googlebot-Image,NA,/live/
Googlebot-Image,NA,/map_tile.php
Googlebot-Image,NA,/moments_app/
Googlebot-Image,NA,/p.php
Googlebot-Image,NA,/photo.php
Googlebot-Image,NA,/photos.php
Googlebot-Image,NA,/share.php
Googlebot-Image,NA,/share/
Googlebot-Image,NA,/sharer.php
Googlebot-Image,NA,/sharer/
Googlebot-Image,NA,/static_map.php
ia_archiver,/about/privacy,/
ia_archiver,/ajax/bootloader-endpoint/,/ajax/
ia_archiver,/ajax/pagelet/generic.php/PagePostsSectionPagelet,/album.php
ia_archiver,/full_data_use_policy,/checkpoint/
ia_archiver,/legal/terms,/contact_importer/
ia_archiver,/policy.php,/dialog/
ia_archiver,/safetycheck/,/fbml/ajax/dialog/
ia_archiver,NA,/feeds/
ia_archiver,NA,/file_download.php
ia_archiver,NA,/hashtag/
ia_archiver,NA,/l.php
ia_archiver,NA,/live/
ia_archiver,NA,/moments_app/
ia_archiver,NA,/p.php
ia_archiver,NA,/photo.php
ia_archiver,NA,/photos.php
ia_archiver,NA,/share.php
ia_archiver,NA,/share/
ia_archiver,NA,/sharer.php
ia_archiver,NA,/sharer/
msnbot,/ajax/bootloader-endpoint/,/ajax/
msnbot,/ajax/pagelet/generic.php/PagePostsSectionPagelet,/album.php
msnbot,/safetycheck/,/checkpoint/
msnbot,NA,/contact_importer/
msnbot,NA,/dialog/
msnbot,NA,/fbml/ajax/dialog/
msnbot,NA,/feeds/
msnbot,NA,/file_download.php
msnbot,NA,/hashtag/
msnbot,NA,/l.php
msnbot,NA,/live/
msnbot,NA,/moments_app/
msnbot,NA,/p.php
msnbot,NA,/photo.php
msnbot,NA,/photos.php
msnbot,NA,/share.php
msnbot,NA,/share/
msnbot,NA,/sharer.php
msnbot,NA,/sharer/
Naverbot,/ajax/bootloader-endpoint/,/ajax/
Naverbot,/ajax/pagelet/generic.php/PagePostsSectionPagelet,/album.php
Naverbot,/safetycheck/,/checkpoint/
Naverbot,NA,/contact_importer/
Naverbot,NA,/dialog/
Naverbot,NA,/fbml/ajax/dialog/
Naverbot,NA,/feeds/
Naverbot,NA,/file_download.php
Naverbot,NA,/hashtag/
Naverbot,NA,/l.php
Naverbot,NA,/live/
Naverbot,NA,/moments_app/
Naverbot,NA,/p.php
Naverbot,NA,/photo.php
Naverbot,NA,/photos.php
Naverbot,NA,/share.php
Naverbot,NA,/share/
Naverbot,NA,/sharer.php
Naverbot,NA,/sharer/
seznambot,/ajax/bootloader-endpoint/,/ajax/
seznambot,/ajax/pagelet/generic.php/PagePostsSectionPagelet,/album.php
seznambot,/safetycheck/,/checkpoint/
seznambot,NA,/contact_importer/
seznambot,NA,/dialog/
seznambot,NA,/fbml/ajax/dialog/
seznambot,NA,/feeds/
seznambot,NA,/file_download.php
seznambot,NA,/hashtag/
seznambot,NA,/l.php
seznambot,NA,/live/
seznambot,NA,/moments_app/
seznambot,NA,/p.php
seznambot,NA,/photo.php
seznambot,NA,/photos.php
seznambot,NA,/share.php
seznambot,NA,/share/
seznambot,NA,/sharer.php
seznambot,NA,/sharer/
Slurp,/ajax/bootloader-endpoint/,/ajax/
Slurp,/ajax/pagelet/generic.php/PagePostsSectionPagelet,/album.php
Slurp,/safetycheck/,/checkpoint/
Slurp,NA,/contact_importer/
Slurp,NA,/dialog/
Slurp,NA,/fbml/ajax/dialog/
Slurp,NA,/feeds/
Slurp,NA,/file_download.php
Slurp,NA,/hashtag/
Slurp,NA,/l.php
Slurp,NA,/live/
Slurp,NA,/moments_app/
Slurp,NA,/p.php
Slurp,NA,/photo.php
Slurp,NA,/photos.php
Slurp,NA,/share.php
Slurp,NA,/share/
Slurp,NA,/sharer.php
Slurp,NA,/sharer/
teoma,/ajax/bootloader-endpoint/,/ajax/
teoma,/ajax/pagelet/generic.php/PagePostsSectionPagelet,/album.php
teoma,/safetycheck/,/checkpoint/
teoma,NA,/contact_importer/
teoma,NA,/dialog/
teoma,NA,/fbml/ajax/dialog/
teoma,NA,/feeds/
teoma,NA,/file_download.php
teoma,NA,/hashtag/
teoma,NA,/l.php
teoma,NA,/live/
teoma,NA,/moments_app/
teoma,NA,/p.php
teoma,NA,/photo.php
teoma,NA,/photos.php
teoma,NA,/share.php
teoma,NA,/share/
teoma,NA,/sharer.php
teoma,NA,/sharer/
Twitterbot,/ajax/bootloader-endpoint/,/ajax/
Twitterbot,/ajax/pagelet/generic.php/PagePostsSectionPagelet,/album.php
Twitterbot,/safetycheck/,/checkpoint/
Twitterbot,NA,/contact_importer/
Twitterbot,NA,/dialog/
Twitterbot,NA,/fbml/ajax/dialog/
Twitterbot,NA,/feeds/
Twitterbot,NA,/file_download.php
Twitterbot,NA,/hashtag/
Twitterbot,NA,/l.php
Twitterbot,NA,/live/
Twitterbot,NA,/moments_app/
Twitterbot,NA,/p.php
Twitterbot,NA,/photo.php
Twitterbot,NA,/photos.php
Twitterbot,NA,/share.php
Twitterbot,NA,/share/
Twitterbot,NA,/sharer.php
Twitterbot,NA,/sharer/
Yandex,/ajax/bootloader-endpoint/,/ajax/
Yandex,/ajax/pagelet/generic.php/PagePostsSectionPagelet,/album.php
Yandex,/safetycheck/,/checkpoint/
Yandex,NA,/contact_importer/
Yandex,NA,/dialog/
Yandex,NA,/fbml/ajax/dialog/
Yandex,NA,/feeds/
Yandex,NA,/file_download.php
Yandex,NA,/hashtag/
Yandex,NA,/l.php
Yandex,NA,/live/
Yandex,NA,/moments_app/
Yandex,NA,/p.php
Yandex,NA,/photo.php
Yandex,NA,/photos.php
Yandex,NA,/share.php
Yandex,NA,/share/
Yandex,NA,/sharer.php
Yandex,NA,/sharer/
Yeti,/ajax/bootloader-endpoint/,/ajax/
Yeti,/ajax/pagelet/generic.php/PagePostsSectionPagelet,/album.php
Yeti,/safetycheck/,/checkpoint/
Yeti,NA,/contact_importer/
Yeti,NA,/dialog/
Yeti,NA,/fbml/ajax/dialog/
Yeti,NA,/feeds/
Yeti,NA,/file_download.php
Yeti,NA,/hashtag/
Yeti,NA,/l.php
Yeti,NA,/live/
Yeti,NA,/moments_app/
Yeti,NA,/p.php
Yeti,NA,/photo.php
Yeti,NA,/photos.php
Yeti,NA,/share.php
Yeti,NA,/share/
Yeti,NA,/sharer.php
Yeti,NA,/sharer/
*,NA,/
